"District","Voting Data Missing Flag","Population","Registered Voters","Votes Democratic","Votes Republican","Votes Third Party","Votes Total","Votes Two Main Parties","Democrat Percent Two Main Parties","Republican Percent Two Main Parties","Winner","Turnout","Vote Difference","Partisan Vote Difference","Competitiveness Score","Partisan Competitiveness Score"
"1",FALSE,716983,541885,205657,170004,5011,380672,375661,0.547453688298759,0.452546311701241,"Democrat",70.2495917030366,0.0949073765975175,0.0949073765975175,2,"Leans Democratic"
"1",TRUE,1484,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2",FALSE,720536,506210,199049,153381,5543,357973,352430,0.564790171097807,0.435209828902193,"Democrat",70.7163035104008,0.129580342195613,0.129580342195613,3,"Likely Democratic"
"2",TRUE,1186,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3",FALSE,718972,481180,167390,160342,7907,335639,327732,0.510752688172043,0.489247311827957,"Democrat",69.7533147678623,0.021505376344086,0.021505376344086,1,"Tossup"
"3",TRUE,1256,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"4",FALSE,722638,504822,180375,173635,7413,361423,354010,0.509519505098726,0.490480494901274,"Democrat",71.5941460554413,0.019039010197452,0.019039010197452,1,"Tossup"
"4",TRUE,177,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"5",FALSE,717601,512057,205445,157563,6430,369438,363008,0.565951714562764,0.434048285437236,"Democrat",72.1478272926647,0.131903429125529,0.131903429125529,3,"Likely Democratic"
"5",TRUE,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"6",FALSE,722613,646797,280168,68677,3431,352276,348845,0.803130330089295,0.196869669910705,"Democrat",54.4646929407527,0.606260660178589,0.606260660178589,4,"Solid Democratic"
"6",TRUE,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"7",FALSE,723153,516173,206411,145779,5921,358111,352190,0.586078537153241,0.413921462846759,"Democrat",69.3780961034382,0.172157074306482,0.172157074306482,3,"Likely Democratic"
"7",TRUE,1704,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"8",FALSE,717610,509730,172715,179067,6612,358394,351782,0.490971681325366,0.509028318674634,"Republican",70.3105565691641,0.0180566373492674,-0.0180566373492674,1,"Tossup"
"8",TRUE,499,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"9",FALSE,716727,480699,161548,156677,5472,323697,318225,0.507653389897085,0.492346610102915,"Democrat",67.3388128537817,0.0153067797941708,0.0153067797941708,1,"Tossup"
"9",TRUE,3552,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"10",FALSE,722394,491516,157836,184959,6060,348855,342795,0.460438454469873,0.539561545530127,"Republican",70.9753090438562,0.0791230910602547,-0.0791230910602547,2,"Leans Republican"
"10",TRUE,956,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11",FALSE,720081,505991,183789,156588,5663,346040,340377,0.539957165143356,0.460042834856644,"Democrat",68.3885681761138,0.0799143302867115,0.0799143302867115,2,"Leans Democratic"
"12",FALSE,722235,505821,177285,175214,5889,358388,352499,0.502937596986091,0.497062403013909,"Democrat",70.8527324883704,0.0058751939721815,0.0058751939721815,1,"Tossup"
"13",FALSE,718554,535847,204908,163688,3905,372501,368596,0.555914876992697,0.444085123007303,"Democrat",69.5162984956527,0.111829753985393,0.111829753985393,3,"Likely Democratic"
"13",TRUE,1302,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14",FALSE,722396,504691,125860,224751,4361,354972,350611,0.358973335120689,0.641026664879311,"Republican",70.3345215191077,0.282053329758621,-0.282053329758621,4,"Solid Republican"
"15",FALSE,719711,506847,155066,212829,5872,373767,367895,0.421495263594232,0.578504736405768,"Republican",73.7435557475925,0.157009472811536,-0.157009472811536,3,"Likely Republican"
"15",TRUE,585,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"16",FALSE,721599,471753,132906,175858,6472,315236,308764,0.430445259162338,0.569554740837662,"Republican",66.8222565622264,0.139109481675325,-0.139109481675325,3,"Likely Republican"
NA,FALSE,0,64669,23464,18699,646,42809,42163,0.556506889927187,0.443493110072813,"Democrat",66.1970959810728,0.113013779854375,0.113013779854375,3,"Likely Democratic"
"Ohio Total",FALSE,11536504,8286688,2939872,2677711,92608,5710191,5617583,0.523333967651212,0.476666032348788,"Democrat",68.9080003977464,0.0466679353024246,0.0466679353024246,2,"Leans Democratic"
